id,title,cluster_label,best_algorithm,best_k
1116201,Iron Lung,1,MiniBatchKMeans,2
1007415,Odium for Ardor,0,MiniBatchKMeans,2
910850,MOBILE SUIT GUNDAM HATHAWAY The Sorcery of Nymph Circe,0,MiniBatchKMeans,2
786567,Gandhi Talks,0,MiniBatchKMeans,2
1626101,"""Un tueur si proche"" : Ann Rule et Ted Bundy",0,MiniBatchKMeans,2
1625937,Play Date,0,MiniBatchKMeans,2
1625881,La beauté à un prix,0,MiniBatchKMeans,2
1625479,Zona A.R.,0,MiniBatchKMeans,2
1625477,Vision,0,MiniBatchKMeans,2
1625393,Mãe Santíssima,0,MiniBatchKMeans,2
1625386,Relato del sueño de una hormiga peronista a sus compañeras,0,MiniBatchKMeans,2
1625384,Locked,0,MiniBatchKMeans,2
1625325,Pequeno Jogo,0,MiniBatchKMeans,2
1625274,Mise en Futilité,0,MiniBatchKMeans,2
1625182,As Florestas da Noite,0,MiniBatchKMeans,2
1625163,Dog owner!,0,MiniBatchKMeans,2
1625157,Tomorrow,0,MiniBatchKMeans,2
1625143,松田好花卒業セレモニー,0,MiniBatchKMeans,2
1625118,RAGER,0,MiniBatchKMeans,2
1624985,GRAND PIANO SHOW Koncerto Filmas,0,MiniBatchKMeans,2
1624914,Recess (Waktu Istirahat),0,MiniBatchKMeans,2
1624818,Fefe - Uma aventura fantástica,0,MiniBatchKMeans,2
1624807,Chasing Butterflies,0,MiniBatchKMeans,2
1624571,The Echo of Your Steps,0,MiniBatchKMeans,2
1623740,Snake 5: Monster City,0,MiniBatchKMeans,2
1623440,The Ugly Show,0,MiniBatchKMeans,2
1622699,Ararat 73,0,MiniBatchKMeans,2
1622502,8118,0,MiniBatchKMeans,2
1622364,Enough,0,MiniBatchKMeans,2
1621496,Anecdotes of Ape Mountain,0,MiniBatchKMeans,2
1621394,Sirena,0,MiniBatchKMeans,2
1621330,Dancing Sober,0,MiniBatchKMeans,2
1621296,Point,0,MiniBatchKMeans,2
1620813,Kael Ryven: The Giant’s Wake,0,MiniBatchKMeans,2
1620651,Saint Paisios,0,MiniBatchKMeans,2
1620544,Plastic Sleep,0,MiniBatchKMeans,2
1620370,Tired Light,0,MiniBatchKMeans,2
1618515,Tip of the Iceberg,0,MiniBatchKMeans,2
1616277,Baobabs del Desert,0,MiniBatchKMeans,2
1615787,Wonder World,0,MiniBatchKMeans,2
1613538,NJPW Road to The New Beginning 2026 - Day 4,0,MiniBatchKMeans,2
1611903,Zejtune,0,MiniBatchKMeans,2
1609622,Ֆուլ հաուս. Վայրէջք,0,MiniBatchKMeans,2
1608953,Tolong Saya! (Dowajuseyo),0,MiniBatchKMeans,2
1604224,SO(N)R,0,MiniBatchKMeans,2
1602705,A Letter to My Youth,1,MiniBatchKMeans,2
1602624,Twenty Twenty Four,0,MiniBatchKMeans,2
1602409,Élever au grain,0,MiniBatchKMeans,2
1593482,Venezia Diorama,0,MiniBatchKMeans,2
1593352,Il Regalo: The Gift,0,MiniBatchKMeans,2
1589963,Ecos do Teatro Experimental do Negro,0,MiniBatchKMeans,2
1587536,Return: Saving Turtles,0,MiniBatchKMeans,2
